user_id,synch,asynch,upqa,tpqa,is_lira,course_id,tqc_fa,eqc_fa,eqc_fa_sr,tq_fa_sr,rc
53293,3,7,10,24,1,5,0,0,0,0,0
53516,0,83,83,244,1,5,47,14,0.9333333333333332,0.8392857142857143,1
53550,2,79,81,189,0,4,47,12,0.8,0.8392857142857143,0
53559,0,10,10,13,1,5,0,0,0,0,0
53946,0,6,6,28,1,5,12,13,0.8666666666666667,1,0
54007,8,75,83,130,1,5,34,10,0.6666666666666666,0.6071428571428571,0
54389,0,11,11,16,0,4,0,0,0,0,0
54481,0,7,7,13,0,4,0,0,0,0,0
54516,6,75,81,129,0,4,45,12,0.8,0.8035714285714286,1
54764,0,0,0,0,0,4,0,0,0,0,0
54773,0,16,16,38,0,4,0,0,0,0,0
55087,1,4,5,17,0,4,0,0,0,0,0
55186,0,7,7,8,1,5,0,0,0,0,0
55364,10,71,81,142,0,4,48,10,0.6666666666666666,0.8571428571428571,0
55381,0,2,2,5,1,5,0,0,0,0,0
55395,0,74,74,217,1,5,23,0,0,0.4509803921568627,0
55714,0,24,24,45,1,5,10,0,0,0.5882352941176471,0
55725,0,15,15,28,0,4,4,0,0,0.6666666666666666,0
55828,0,2,2,2,1,5,6,0,0,1,0
55857,0,29,29,58,0,4,11,0,0,0.6470588235294118,0
55912,16,55,71,115,1,5,41,0,0,0.9318181818181818,0
55929,9,72,81,276,0,4,24,6,0.4,0.4285714285714285,0
55995,0,23,23,43,1,5,7,0,0,0.3684210526315789,0
55998,5,76,81,117,0,4,44,12,0.8,0.7857142857142857,0
56031,0,81,81,154,0,4,44,14,0.9333333333333332,0.7857142857142857,1
56070,2,1,3,3,1,5,0,0,0,0,0
56095,3,27,30,44,0,4,22,0,0,0.9166666666666666,0
56118,0,83,83,129,1,5,46,10,0.6666666666666666,0.8214285714285714,0
56133,19,0,19,66,1,5,0,0,0,0,0
56217,0,81,81,165,1,5,27,11,0.7333333333333333,0.5510204081632653,0
56267,0,31,31,81,1,5,9,0,0,0.8181818181818182,0
56276,0,31,31,58,1,5,11,0,0,0.6470588235294118,0
56289,3,7,10,21,1,5,2,0,0,0.4,0
56414,6,55,61,221,1,5,25,12,0.8,0.5813953488372093,0
56438,2,6,8,18,1,5,0,0,0,0,0
56537,3,52,55,200,1,5,14,7,0.4666666666666667,0.4117647058823529,0
56542,20,37,57,107,1,5,16,0,0,0.5333333333333333,0
56556,2,25,27,47,1,5,27,12,0.8,0.4821428571428571,0
56640,15,68,83,185,1,5,55,14,0.9333333333333332,0.9821428571428572,1
56667,0,53,53,167,1,5,16,0,0,0.3265306122448979,0
56690,7,38,45,94,1,5,24,0,0,0.5853658536585366,0
56700,28,55,83,295,1,5,49,15,1,1,1
56720,6,21,27,56,1,5,5,0,0,0.625,0
56729,13,30,43,136,1,5,11,0,0,1,0
56744,0,8,8,13,1,5,6,0,0,0.4285714285714285,0
56756,0,23,23,48,1,5,5,0,0,0.8333333333333334,0
56800,1,82,83,177,1,5,35,11,0.7333333333333333,0.7142857142857143,0
56859,6,4,10,23,1,5,0,0,0,0,0
56870,11,72,83,336,1,5,28,10,0.6666666666666666,0.56,0
56885,3,40,43,58,1,5,11,0,0,1,0
56968,10,73,83,648,1,5,42,9,0.6,0.75,0
56970,0,83,83,403,1,5,34,7,0.4666666666666667,0.6071428571428571,0
57072,21,62,83,205,1,5,25,8,0.5333333333333333,0.4464285714285714,0
57079,0,48,48,72,1,5,19,0,0,0.8260869565217391,0
57118,0,0,0,0,1,5,0,0,0,0,0
